,DDQN_Base_Model
30,"{'reward': 0.21227532875512328, 'makespan': 6001.463684863718, 'energy': 3.7508857515084917, 'cost': 52.53612588932109, 'latency': 4.44, 'utilization': 0.5072251778642202, 'throughput': 0.10191842127600637}"
31,"{'reward': 0.21548100887000224, 'makespan': 4000.7273835077913, 'energy': 3.7650460085401756, 'cost': 52.554464403056734, 'latency': 4.43, 'utilization': 0.510892880611348, 'throughput': 0.10228571428571424}"
32,"{'reward': 0.20425501799533258, 'makespan': 0.6893485287337502, 'energy': 3.6943382863348675, 'cost': 52.486371287418024, 'latency': 4.455, 'utilization': 0.4972742574836048, 'throughput': 0.10148686109212425}"
33,"{'reward': 0.20969368304965205, 'makespan': 2000.7676374850232, 'energy': 3.744879064081332, 'cost': 52.52111180889946, 'latency': 4.41, 'utilization': 0.5042223617798921, 'throughput': 0.10279942279942275}"
34,"{'reward': 0.20358752467572797, 'makespan': 2000.6665767677719, 'energy': 3.678721246337505, 'cost': 52.48202166817895, 'latency': 4.51, 'utilization': 0.4964043336357877, 'throughput': 0.10047243107769421}"
35,"{'reward': 0.21274472786537696, 'makespan': 2000.7804276671416, 'energy': 3.7788546833226495, 'cost': 52.54338333809529, 'latency': 4.445, 'utilization': 0.5086766676190578, 'throughput': 0.10177695575837988}"
36,"{'reward': 0.2161008291126566, 'makespan': 4001.0398346832853, 'energy': 3.7942706543063203, 'cost': 52.563000681712666, 'latency': 4.445, 'utilization': 0.5126001363425342, 'throughput': 0.10203965796845052}"
37,"{'reward': 0.21522290183286902, 'makespan': 2000.7570697915355, 'energy': 3.8185755667979127, 'cost': 52.56858805497441, 'latency': 4.64, 'utilization': 0.513717610994881, 'throughput': 0.09775250068129322}"
38,"{'reward': 0.206831610925178, 'makespan': 4000.705275154319, 'energy': 3.6860343345048934, 'cost': 52.49635642119276, 'latency': 4.4, 'utilization': 0.49927128423855094, 'throughput': 0.10315280625806938}"
39,"{'reward': 0.21642945017344126, 'makespan': 4000.6358573437033, 'energy': 3.790540254813189, 'cost': 52.56312373180644, 'latency': 4.415, 'utilization': 0.512624746361286, 'throughput': 0.10279563882969457}"
40,"{'reward': 0.211457621546831, 'makespan': 1.0887043623161012, 'energy': 3.7486526401877063, 'cost': 52.53145142542075, 'latency': 4.435, 'utilization': 0.5062902850841484, 'throughput': 0.10207601222307103}"
41,"{'reward': 0.20473443532890884, 'makespan': 2001.49341958769, 'energy': 3.6932096977954125, 'cost': 52.4875462989047, 'latency': 4.42, 'utilization': 0.49750925978093863, 'throughput': 0.10284498009730207}"
42,"{'reward': 0.20264765949385383, 'makespan': 4000.5518695551887, 'energy': 3.698812176979772, 'cost': 52.47852312282777, 'latency': 4.44, 'utilization': 0.4957046245655485, 'throughput': 0.10215141463283872}"
43,"{'reward': 0.20699560603070175, 'makespan': 2000.7730306760707, 'energy': 3.711807707399207, 'cost': 52.50063023761039, 'latency': 4.37, 'utilization': 0.500126047522082, 'throughput': 0.10368828711707966}"
44,"{'reward': 0.20874070984915985, 'makespan': 10000.637133457905, 'energy': 3.7179575782318377, 'cost': 52.51294871426217, 'latency': 4.45, 'utilization': 0.5025897428524317, 'throughput': 0.10193787499050655}"
45,"{'reward': 0.21200368378444426, 'makespan': 2000.6831510021311, 'energy': 3.7674447296297076, 'cost': 52.53709064960848, 'latency': 4.425, 'utilization': 0.5074181299216918, 'throughput': 0.10295374800637955}"
46,"{'reward': 0.20648071128129125, 'makespan': 2000.7647519009997, 'energy': 3.704533892806508, 'cost': 52.496943183584335, 'latency': 4.375, 'utilization': 0.49938863671686984, 'throughput': 0.10342334445740016}"
47,"{'reward': 0.20924597468290063, 'makespan': 2001.5097932289616, 'energy': 3.753637204228308, 'cost': 52.52077841055459, 'latency': 4.425, 'utilization': 0.5041556821109181, 'throughput': 0.1025820746161303}"
48,"{'reward': 0.22026255192991925, 'makespan': 0.6812578711347541, 'energy': 3.8246301608905897, 'cost': 52.58953098981039, 'latency': 4.455, 'utilization': 0.51790619796208, 'throughput': 0.101672490048651}"
49,"{'reward': 0.20896336430756715, 'makespan': 0.7726868283429482, 'energy': 3.723147771121008, 'cost': 52.51328155735645, 'latency': 4.395, 'utilization': 0.5026563114712874, 'throughput': 0.10349696210222521}"
