,Mean,StdDev
latency,4.196875,0.7252347728452738
energy,0.12509550796277127,0.015804339557861743
cost,3.061947520825706,0.30968145068339265
utilization,0.5123895041651413,0.06193629013667853
throughput,0.10989713223652854,0.02336126495320683
makespan,2426.0164568952982,15384.20241396514
reward,50.68487042134511,0.42048749724983076
